Model,Accuracy,Precision,Recall,F1-Score,Time (s)
SVM (Linear),0.9896551724137931,0.9946091644204852,0.9736147757255936,0.984,10.618535995483398
Naive Bayes,0.9793103448275862,0.9944289693593314,0.941952506596306,0.967479674796748,0.0460057258605957
Random Forest,0.9775862068965517,0.9656992084432717,0.9656992084432717,0.9656992084432717,9.304452419281006
Logistic Regression,0.9775862068965517,0.9971830985915493,0.9340369393139841,0.9645776566757494,0.37297916412353516
Gradient Boosting,0.9577586206896552,0.9796511627906976,0.8891820580474934,0.9322268326417704,91.75679230690002
